iter	Passed	Remaining
0	14	14923
1	29	14769
2	48	16199
3	70	17650
4	90	18091
5	104	17322
6	124	17656
7	143	17833
8	168	18577
9	183	18212
10	198	17811
11	215	17775
12	228	17325
13	239	16864
14	249	16352
15	260	15991
16	273	15806
17	283	15440
18	295	15248
19	303	14852
20	311	14504
21	322	14346
22	332	14132
23	340	13857
24	349	13615
25	357	13409
26	368	13268
27	376	13070
28	385	12904
29	393	12736
30	405	12678
31	415	12578
32	429	12590
33	439	12497
34	451	12455
35	462	12382
36	469	12231
37	479	12126
38	490	12090
39	502	12058
40	514	12031
41	523	11938
42	531	11835
43	542	11795
44	554	11764
45	566	11747
46	579	11750
47	589	11695
48	601	11670
49	611	11620
50	620	11541
51	631	11505
52	639	11432
53	650	11404
54	661	11365
55	672	11337
56	681	11270
57	692	11253
58	702	11206
59	714	11198
60	725	11171
61	736	11135
62	750	11157
63	763	11165
64	782	11253
65	800	11321
66	811	11301
67	828	11358
68	842	11369
69	860	11434
70	877	11485
71	895	11543
72	910	11557
73	922	11545
74	936	11545
75	952	11575
76	965	11578
77	980	11586
78	992	11570
79	1003	11535
80	1014	11514
81	1026	11495
82	1037	11463
83	1049	11441
84	1060	11416
85	1069	11371
86	1081	11345
87	1092	11326
88	1105	11319
89	1117	11297
90	1128	11272
91	1141	11261
92	1152	11236
93	1163	11213
94	1175	11196
95	1188	11192
96	1199	11165
97	1211	11155
98	1224	11144
99	1237	11134
100	1250	11134
101	1261	11110
102	1273	11089
103	1285	11074
104	1296	11052
105	1307	11027
106	1318	11006
107	1330	10985
108	1341	10961
109	1352	10942
110	1363	10922
111	1374	10900
112	1387	10888
113	1397	10862
114	1409	10843
115	1420	10823
116	1431	10805
117	1444	10796
118	1457	10787
119	1468	10771
120	1481	10763
121	1492	10742
122	1504	10727
123	1517	10722
124	1533	10732
125	1549	10749
126	1563	10750
127	1575	10733
128	1587	10721
129	1599	10704
130	1611	10690
131	1624	10679
132	1634	10655
133	1646	10638
134	1658	10626
135	1671	10621
136	1688	10638
137	1701	10629
138	1715	10629
139	1727	10614
140	1741	10612
141	1756	10611
142	1770	10611
143	1784	10607
144	1796	10594
145	1807	10574
146	1819	10556
147	1829	10533
148	1842	10524
149	1856	10520
150	1871	10522
151	1886	10525
152	1898	10508
153	1911	10501
154	1923	10485
155	1934	10464
156	1946	10449
157	1956	10425
158	1967	10404
159	1978	10384
160	1988	10361
161	1999	10340
162	2011	10328
163	2021	10306
164	2033	10292
165	2045	10276
166	2055	10254
167	2066	10234
168	2079	10223
169	2089	10201
170	2101	10189
171	2112	10170
172	2124	10155
173	2135	10137
174	2146	10118
175	2157	10100
176	2169	10085
177	2180	10069
178	2192	10056
179	2202	10035
180	2212	10012
181	2223	9993
182	2236	9983
183	2248	9971
184	2259	9953
185	2270	9934
186	2280	9916
187	2292	9902
188	2308	9905
189	2323	9904
190	2337	9899
191	2351	9894
192	2363	9883
193	2378	9881
194	2392	9874
195	2407	9875
196	2427	9895
197	2442	9895
198	2456	9889
199	2474	9899
200	2488	9891
201	2500	9877
202	2513	9867
203	2527	9862
204	2543	9865
205	2569	9903
206	2599	9957
207	2629	10011
208	2668	10097
209	2691	10123
210	2707	10124
211	2720	10111
212	2731	10090
213	2744	10081
214	2756	10066
215	2768	10049
216	2781	10035
217	2795	10027
218	2812	10031
219	2833	10044
220	2848	10040
221	2868	10054
222	2890	10070
223	2906	10067
224	2921	10062
225	2939	10066
226	2957	10069
227	2973	10069
228	2987	10058
229	3003	10054
230	3015	10039
231	3026	10018
232	3037	9999
233	3050	9986
234	3063	9971
235	3075	9955
236	3085	9933
237	3097	9916
238	3111	9908
239	3123	9890
240	3134	9873
241	3148	9863
242	3163	9854
243	3177	9845
244	3190	9831
245	3205	9825
246	3219	9813
247	3237	9815
248	3253	9813
249	3270	9811
250	3286	9808
251	3300	9795
252	3317	9794
253	3332	9787
254	3347	9779
255	3361	9769
256	3375	9757
257	3386	9740
258	3399	9725
259	3411	9709
260	3423	9692
261	3435	9677
262	3447	9661
263	3458	9643
264	3471	9627
265	3482	9608
266	3494	9593
267	3506	9577
268	3519	9564
269	3533	9553
270	3547	9544
271	3560	9529
272	3572	9513
273	3672	9729
274	3743	9869
275	3764	9875
276	3781	9871
277	3832	9952
278	3848	9946
279	3877	9971
280	3913	10012
281	3937	10024
282	3952	10014
283	3969	10008
284	3989	10009
285	4003	9993
286	4015	9976
287	4028	9958
288	4041	9943
289	4054	9925
290	4068	9913
291	4080	9893
292	4093	9878
293	4108	9865
294	4124	9856
295	4140	9846
296	4152	9829
297	4166	9813
298	4179	9798
299	4192	9783
300	4205	9766
301	4219	9752
302	4235	9743
303	4252	9735
304	4267	9724
305	4282	9712
306	4303	9713
307	4317	9700
308	4332	9687
309	4345	9672
310	4357	9654
311	4372	9642
312	4391	9638
313	4408	9630
314	4428	9630
315	4446	9625
316	4463	9616
317	4482	9613
318	4495	9596
319	4510	9585
320	4523	9568
321	4535	9549
322	4547	9531
323	4560	9514
324	4573	9498
325	4584	9477
326	4595	9457
327	4606	9437
328	4617	9416
329	4628	9397
330	4639	9378
331	4652	9361
332	4663	9341
333	4676	9324
334	4690	9311
335	4705	9298
336	4722	9291
337	4743	9290
338	4761	9284
339	4784	9287
340	4802	9281
341	4825	9285
342	4845	9281
343	4865	9278
344	4888	9281
345	4917	9294
346	4946	9307
347	4963	9300
348	4980	9289
